max_change,min_change,start,end,amount,turn,change,up_count,down_count,name,industry,class
5.71,-4.79,52.9,52.4,417153.4645588235,25.109632352941176,32.28,25,9,芯瑞达,元器件,0
3.58,-3.58,44.8,45.41,305219.1733783784,11.015622297297297,32.01,87,61,广电计量,综合类,0
7.62,-4.44,52.01,53.69,379894.7219024391,37.72828536585366,31.63,23,18,朝阳科技,元器件,0
5.18,-6.66,70.0,72.47,292214.2922141119,2.0358340632603404,31.43,207,204,中际旭创,通信设备,0
4.61,-4.83,67.4,67.3,311631.28150851576,0.9586296836982968,31.29,210,201,青岛啤酒,啤酒,0
38.92,-7.62,64.2,64.3,356048.35,30.21774499999999,30.49,10,10,奥特维,专用机械,0
4.34,-4.77,51.61,51.93,251831.9282238443,3.743888321167884,30.22,210,201,雅克科技,化工原料,0
56.29,-6.95,90.0,77.96,315192.49125,14.49971,30.01,38,42,神工股份,化工原料,0
6.76,-7.55,87.51,87.58,355447.0532846715,4.398724574209246,29.49,206,205,精测电子,电器仪表,0
30.2,-10.0,73.0,72.15,254423.2877828054,9.836875113122174,29.06,123,98,睿创微纳,通信设备,0
22.65,-11.81,74.61,74.56,282101.7151162791,7.483327325581397,28.73,96,76,传音控股,通信设备,0
3.28,-2.17,41.8,41.88,419066.33941605844,1.7191111922141118,28.55,211,200,东方雨虹,其他建材,0
4.41,-3.34,55.7,55.89,431010.66447688563,1.2491109489051098,28.16,217,194,完美世界,影视音像,0
4.55,-5.07,52.4,51.5,293581.7107055961,1.8518508515815084,27.92,218,193,易华录,软件服务,0
4.25,-5.4,52.9,54.03,372711.7355231144,4.959445498783456,27.16,216,195,鹏鼎控股,元器件,0
29.32,-19.57,159.9,157.63,265690.78552036197,16.13519321266968,26.76,115,106,沃尔德,专用机械,0
5.23,-6.28,63.7,64.73,479231.495377129,1.4463880778588807,26.3,196,215,顺鑫农业,白酒,0
5.27,-5.66,58.2,57.97,472210.6214111922,5.812219951338199,26.25,214,197,东方通,软件服务,0
3.09,-2.8,46.8,47.12,280702.6104622871,1.5376554744525548,25.68,224,187,丽珠集团,化学制药,0
3.72,-4.36,54.7,55.0,296773.1184914842,0.9820635036496352,25.62,211,200,中炬高新,食品,0
7.61,-7.64,93.8,94.09,444825.77297297295,0.7485924324324325,24.92,184,186,云南白药,中成药,0
5.91,-7.03,70.0,71.26,360736.1068773007,17.299833128834358,24.33,93,70,佳禾智能,IT设备,0
28.4,-9.71,80.0,79.26,280498.4248868779,8.840100904977373,24.25,117,104,嘉元科技,元器件,0
5.38,-5.9,60.88,59.18,288267.66107055964,5.96501703163017,23.72,219,192,科蓝软件,软件服务,0
2.6,-2.56,30.0,28.55,388582.1526034064,7.452414111922141,23.69,225,186,漫步者,IT设备,0
22.01,-3.59,53.6,54.8,407590.3043478261,22.71644347826087,23.31,15,8,吉贝尔,化学制药,0
3.65,-3.83,41.68,41.28,283471.8735425532,18.456297340425532,23.14,101,87,瑞达期货,多元金融,0
3.45,-2.89,41.6,37.9,447854.5326034064,2.056514598540146,23.09,220,191,以岭药业,中成药,0
3.43,-3.75,44.8,45.23,305158.5569343066,1.5196562043795618,21.29,222,189,启明星辰,软件服务,0
2.68,-2.94,30.0,30.6,331020.1415609756,4.178637317073171,21.25,236,174,武汉凡谷,通信设备,0
2.8200000000000003,-3.14,32.23,32.89,285663.1207055961,4.800616058394161,21.14,221,190,未名医药,生物制药,0
5.36,-5.9,58.0,59.0,259529.4637712895,3.0876238442822386,21.07,209,202,道恩股份,塑料,0
2.68,-2.37,34.04,33.52,393534.21557177615,1.7358250608272503,20.3,209,202,华海药业,化学制药,0
4.05,-4.13,45.03,46.8,315557.52094890515,5.513125790754259,20.24,214,197,四方精创,软件服务,0
2.41,-2.01,26.06,26.47,259283.06958637468,4.841142822384428,19.5,229,182,大立科技,电器仪表,0
3.1,-3.41,34.71,34.1,358537.5108536586,4.359105853658537,19.44,224,186,星期六,服饰,0
2.39,-2.12,28.95,28.28,341708.42100000003,16.613646666666668,19.38,23,7,派瑞股份,元器件,0
4.31,-2.85,30.95,31.11,330896.14695833327,22.67787083333333,18.7,27,21,雷赛智能,专用机械,0
2.88,-3.09,39.08,39.28,276465.0124087591,0.8295673965936741,18.57,216,195,今世缘,白酒,0
2.62,-2.84,44.0,44.02,477400.5858585858,1.1325585858585858,18.02,202,194,双汇发展,食品,0
4.16,-4.38,47.99,46.09,434825.69902676396,2.7099109489051094,17.61,209,202,星网锐捷,通信设备,0
2.65,-3.0,32.0,32.96,329631.0512552084,18.0942765625,17.3,110,82,南华期货,多元金融,0
4.57,-4.49,52.92,52.95,304385.5613939394,16.845480303030303,17.09,134,130,三角防务,航空,0
2.93,-3.59,35.81,37.01,300731.05036496354,4.678362530413625,16.84,225,186,赛微电子,元器件,0
3.27,-3.63,36.8,38.01,272989.9291970803,7.719191240875912,16.58,223,188,光弘科技,通信设备,0
3.94,-2.94,45.3,45.35,270946.0294403893,1.110010705596107,16.57,226,185,安琪酵母,食品,0
1.93,-1.73,28.1,28.19,290416.79391727486,2.3847423357664232,16.02,218,193,上峰水泥,水泥,0
104.86,-18.0,148.5,150.0,270988.05000000005,9.021103365384617,15.54,103,105,晶晨股份,半导体,0
2.65,-2.77,27.8,29.12,272257.1233888889,26.306970987654317,15.32,90,72,交建股份,建筑工程,0
1.79,-1.82,23.89,23.3,331408.8892944039,0.8593399026763991,15.22,212,199,三花智控,机械基件,0
3.88,-2.81,56.0,55.6,425590.83576642344,0.4789880778588808,15.06,205,206,顺丰控股,仓储物流,0
1.45,-1.6,18.35,17.9,450083.9839416058,4.684272749391726,14.8,228,183,双塔食品,食品,0
4.6,-2.71,31.03,32.19,280818.5275,25.145096875,14.68,20,12,赛伍技术,塑料,0
2.39,-2.36,27.88,27.29,302245.00535279803,3.292607785888078,14.51,217,194,创业慧康,软件服务,0
26.9,-11.4,90.21,89.48,258649.1416289593,12.039335294117649,14.41,106,115,福光股份,电器仪表,0
17.6,-4.12,69.69,63.35,271975.4091666666,16.729516666666665,13.9,6,6,宇新股份,化工原料,0
2.21,-2.4,24.96,24.81,296077.57358024694,4.140768641975309,13.69,214,191,贵研铂业,小金属,0
2.7,-2.08,22.0,21.25,379967.63087272726,26.09347454545454,13.21,33,22,阿尔特,汽车服务,0
2.88,-2.86,29.02,31.68,431510.1683698297,3.131599513381996,13.17,209,202,达安基因,生物制药,0
1.94,-1.34,21.5,19.91,270360.1123548387,17.732161290322573,12.98,23,8,金现代,软件服务,0
3.18,-3.1,34.88,34.95,374189.66666666674,5.005847931873478,12.57,224,187,雄韬股份,电气设备,0
3.08,-3.17,36.51,36.5,384972.25037593994,3.192618295739348,12.32,195,204,航锦科技,化工原料,0
2.51,-2.86,27.8,28.71,387972.40267639904,1.9710296836982968,12.23,213,198,晶盛机电,专用机械,0
2.01,-1.66,23.5,23.5,270824.3379562044,2.3163542579075425,12.16,222,189,恒顺醋业,食品,0
2.86,-2.39,31.5,31.43,482243.8459854014,1.7950476885644768,11.92,218,193,华新水泥,水泥,0
1.86,-1.79,22.81,22.99,277059.69927007303,2.2776094890510947,11.84,209,202,亿帆医药,化学制药,0
1.9,-2.01,23.61,23.73,388024.9267639903,3.8012545012165453,11.84,204,207,梦网集团,互联网,0
2.14,-2.7,26.62,27.05,424830.37980535283,2.905637712895377,11.77,221,190,长盈精密,元器件,0
3.11,-3.28,35.98,36.0,268107.3732360097,1.0225844282238443,11.51,213,198,老板电器,家用电器,0
4.15,-4.45,51.7,53.1,369142.40875912405,2.625362530413625,11.42,198,213,太极股份,软件服务,0
2.05,-2.27,29.5,29.46,426102.1128953772,2.3149525547445258,11.35,216,195,千方科技,软件服务,0
2.74,-2.8,36.51,36.36,315272.9177615572,1.5325944038929442,10.88,214,197,涪陵榨菜,食品,0
2.3,-2.53,26.79,25.29,256739.5296,3.54400225,10.46,211,189,国网信通,通信设备,0
1.39,-1.47,17.1,17.2,381415.6848418491,3.292398296836983,10.31,217,194,天康生物,饲料,0
3.0,-3.26,35.51,34.76,322662.29829683696,3.5674523114355234,10.24,226,185,北斗星通,通信设备,0
2.58,-3.01,32.5,32.81,300202.10827250604,3.2105238442822386,10.16,213,198,神州数码,综合类,0
2.21,-2.16,25.93,26.91,340706.21563275444,0.9432955334987592,10.09,203,200,环旭电子,元器件,0
1.99,-2.2,21.31,21.98,270958.7389294404,3.1873963503649634,10.06,203,208,立思辰,软件服务,0
3.8,-4.18,42.02,41.79,350278.73680310877,13.11569170984456,10.04,196,190,中贝通信,通信设备,0
2.45,-2.93,29.7,30.92,358420.26520681265,5.329131143552312,10.04,208,203,长亮科技,软件服务,0
2.5700000000000003,-3.21,32.6,33.19,382085.7379562044,4.023194403892944,9.81,206,205,顺网科技,互联网,0
4.8100000000000005,-1.3,25.0,24.65,256490.32943478262,19.96127391304348,9.8,14,9,豪美新材,铝,0
1.21,-1.41,14.18,14.09,374894.8148418492,1.6637586374695867,9.73,222,189,金发科技,塑料,0
1.67,-1.72,25.99,25.94,326641.0277372263,1.5601856447688565,9.65,216,195,生物股份,农业综合,0
3.5,-3.93,47.9,47.92,322268.70729927014,1.0347231143552311,9.64,202,209,纳思达,IT设备,0
1.27,-1.15,13.3,13.97,298014.99676616915,2.1460681592039803,9.63,222,180,华北制药,化学制药,0
1.59,-1.35,19.0,19.34,354870.24793187354,2.812769343065693,9.62,207,204,浙江医药,化学制药,0
1.6,-1.57,18.33,18.96,437026.25133819954,4.56505401459854,9.44,222,189,和而泰,元器件,0
6.96,-2.91,29.57,29.6,365791.61588235287,23.061417647058825,9.28,10,7,长源东谷,汽车配件,0
1.39,-1.09,15.66,15.93,283031.1143552312,2.9206070559610717,9.18,222,189,天山股份,水泥,0
3.59,-3.95,41.66,41.81,461189.3355231143,7.9452664233576655,9.18,204,207,民和股份,农业综合,0
3.29,-3.67,39.9,41.12,273369.8097323601,4.577143309002434,9.15,220,191,全志科技,元器件,0
2.63,-3.42,35.28,36.2,279770.9313868613,4.114505839416059,9.08,205,206,扬杰科技,半导体,0
1.53,-1.49,29.48,29.5,492033.4844282238,0.4162688564476886,9.0,203,208,宁波银行,银行,0
2.95,-3.24,30.7,32.44,361098.10973236023,5.556583698296836,8.98,208,203,安洁科技,IT设备,0
2.39,-2.5,27.03,26.96,277088.72360097326,1.4670031630170317,8.97,215,196,特锐德,电气设备,0
5.57,-6.8,66.91,68.05,288569.27481296763,6.385727431421447,8.71,206,195,江丰电子,元器件,0
1.04,-0.89,11.6,11.5,465784.5671532847,4.731168126520681,8.67,218,193,省广集团,广告包装,0
