industry,name,max_change,min_change,start,end,amount,turn,change,up_count,down_count
电气设备,鹏辉能源,2.55,-2.76,33.41,31.85,145886.22968369827,3.066547688564477,6.26,221,190
元器件,艾华集团,2.0,-3.04,29.84,30.63,43300.669805352794,0.4902367396593674,6.25,198,213
中成药,众生药业,1.32,-1.49,16.91,16.08,151997.21824817517,1.659490510948905,6.25,207,204
汽车配件,德宏股份,1.86,-2.04,21.0,20.44,91907.34234413966,4.167627680798005,6.24,218,183
软件服务,皖通科技,1.21,-1.24,14.5,13.46,53378.12117936118,1.583353316953317,6.24,218,189
影视音像,歌华有线,1.29,-1.23,14.45,15.45,131077.128992629,0.8946479115479115,6.23,222,185
塑料,通产丽星,2.22,-2.44,26.0,24.43,275222.839125,4.735971749999999,6.21,215,185
元器件,莱宝高科,0.87,-0.95,12.23,12.25,150241.82408759126,2.437398783454988,6.18,220,191
电气设备,运达股份,2.87,-2.18,23.0,21.91,121430.9314676259,9.813879856115108,6.17,143,135
食品,来伊份,1.71,-1.79,18.9,19.12,96736.63678832118,4.620650851581508,6.17,216,195
家居用品,海鸥住工,0.88,-0.96,9.26,9.63,40050.93187347932,1.329859367396594,6.16,221,190
化工原料,回天新材,1.16,-1.3,17.09,17.19,107558.98256857855,3.196001246882793,6.15,212,189
商贸代理,辽宁成大,1.72,-1.63,20.68,20.8,262672.97299270076,1.1268333333333334,6.14,216,195
医疗保健,九安医疗,1.1,-1.15,12.5,12.2,124495.83029197081,3.7611087591240873,6.14,218,193
